model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,feature_set,C,half_life_years
advanced__c0.1__hl8.0,2022,0.9226019444345053,0.5435535530562146,0.18475388214870694,0.5835051546391753,0.033532946629569356,0.5758148609019217,970,advanced,0.1,8.0
advanced__c0.1__hl12.0,2022,0.9217228466228431,0.54310549783744,0.18464600534361594,0.5804123711340207,0.035773924031689004,0.5741149636453174,970,advanced,0.1,12.0
advanced__c0.3__hl4.0,2022,0.9276581105711894,0.5459925981324555,0.18541214519400193,0.5762886597938144,0.03548806746804287,0.5816395829471641,970,advanced,0.3,4.0
advanced__c0.3__hl8.0,2022,0.9225922683208635,0.5435903238007512,0.1847426088738612,0.5835051546391753,0.029378751578244013,0.5767191205564098,970,advanced,0.3,8.0
advanced__c0.3__hl12.0,2022,0.9215306767173529,0.5430046365770959,0.18458285991223478,0.5814432989690722,0.031806605322762097,0.5753764305949521,970,advanced,0.3,12.0
advanced__c1.0__hl4.0,2022,0.9286004255757047,0.5462752756216297,0.18554879173807368,0.5762886597938144,0.03668923918375014,0.5828470082786195,970,advanced,1.0,4.0
advanced__c1.0__hl8.0,2022,0.9225406679552018,0.5435271884185359,0.18471698433861447,0.5824742268041238,0.02574954940404808,0.5777897704940328,970,advanced,1.0,8.0
advanced__c1.0__hl12.0,2022,0.9213303053798959,0.5428245377662344,0.18449452573149763,0.5814432989690722,0.03501415427786638,0.5761249654641802,970,advanced,1.0,12.0
compact__c0.03__hl4.0,2022,0.9259784438915908,0.5447578031788141,0.18522405758101412,0.5783505154639176,0.033640950336807855,0.5799131383260958,970,compact,0.03,4.0
compact__c0.03__hl8.0,2022,0.92185072824076,0.5426922323133896,0.18462070470032696,0.5876288659793815,0.029308184832674736,0.5780292622856502,970,compact,0.03,8.0
compact__c0.03__hl12.0,2022,0.9206596998128511,0.5420865929092963,0.18443811765235896,0.588659793814433,0.03127595432209549,0.5777401462661343,970,compact,0.03,12.0
compact__c0.1__hl4.0,2022,0.9244550672943147,0.5439191817349921,0.18479578218568937,0.5773195876288659,0.03582626359694247,0.5800446275973173,970,compact,0.1,4.0
compact__c0.1__hl8.0,2022,0.9205939923968024,0.5420362619319902,0.18427601134034632,0.5865979381443299,0.036614022964360074,0.5783420087198538,970,compact,0.1,8.0
compact__c0.1__hl12.0,2022,0.9195188151166309,0.5414852556882233,0.18413749692301384,0.588659793814433,0.03414289847924972,0.5782585913105137,970,compact,0.1,12.0
compact__c0.3__hl4.0,2022,0.9234066688225187,0.5432690857050181,0.184472896491677,0.5783505154639176,0.0378423389119336,0.5806467504170558,970,compact,0.3,4.0
compact__c0.3__hl8.0,2022,0.919514287627149,0.5413811876000224,0.1839680444961173,0.588659793814433,0.03478325981772391,0.5789746838503418,970,compact,0.3,8.0
compact__c0.3__hl12.0,2022,0.9183942186685032,0.5407912469987165,0.18382050779726455,0.5917525773195876,0.03697554279807955,0.578905644530622,970,compact,0.3,12.0
compact__c1.0__hl4.0,2022,0.9228227191898746,0.5428987020567737,0.18429521059818196,0.5845360824742268,0.02797746782153496,0.5814379121700868,970,compact,1.0,4.0
compact__c1.0__hl8.0,2022,0.9190750111355421,0.5410778517706945,0.18381517804594835,0.5855670103092784,0.03781518837566585,0.5799152540805675,970,compact,1.0,8.0
compact__c1.0__hl12.0,2022,0.9181664067813664,0.5406579504493595,0.18375166216688607,0.5896907216494846,0.037497773968775364,0.579472473778147,970,compact,1.0,12.0
class_prior,2023,1.0543544476808402,0.636923863361496,0.2342585328728022,0.4667931688804554,0.01928693159400735,0.48608010047446276,1054,baseline,,
elo_logistic,2023,0.8836327594071622,0.5189451219890209,0.177553055905318,0.6091081593927894,0.022222305770418477,0.6053552192240145,1054,baseline,,
base__c0.03__hl4.0,2023,0.855598930854712,0.5016642436648923,0.17073010786221748,0.6148007590132827,0.02939244839911593,0.6252288490299622,1054,base,0.03,4.0
base__c0.03__hl8.0,2023,0.8535709484769147,0.4999177662203437,0.1701283568901888,0.6176470588235294,0.028312308816438505,0.6249434375120306,1054,base,0.03,8.0
base__c0.03__hl12.0,2023,0.8534184552196779,0.4996204957955431,0.1700320224065566,0.6204933586337761,0.03480345426397533,0.625435327667796,1054,base,0.03,12.0
base__c0.1__hl4.0,2023,0.8545266107294162,0.5012842948991114,0.17054555057392964,0.6195445920303605,0.0335192796240378,0.6256899385032977,1054,base,0.1,4.0
base__c0.1__hl8.0,2023,0.8527185126315332,0.49965497343654414,0.16999755115842938,0.6204933586337761,0.03654219785207319,0.625425390750864,1054,base,0.1,8.0
base__c0.1__hl12.0,2023,0.8525707558724192,0.4993639169666271,0.16990678356822028,0.6233396584440227,0.03640266485168024,0.6258863328268913,1054,base,0.1,12.0
base__c0.3__hl4.0,2023,0.853768447429315,0.5009271204833706,0.17037722589106571,0.6138519924098672,0.03164168773987778,0.6257547180463481,1054,base,0.3,4.0
base__c0.3__hl8.0,2023,0.8519334038805221,0.49927830737808976,0.169812926075406,0.6204933586337761,0.03662964514229168,0.6252756773157677,1054,base,0.3,8.0
base__c0.3__hl12.0,2023,0.8516921999537167,0.4989320349668089,0.1697010402230539,0.6214421252371917,0.04070934256408582,0.6257341074457313,1054,base,0.3,12.0
base__c1.0__hl4.0,2023,0.8534212687680355,0.5007945223717638,0.17027119990896245,0.6157495256166983,0.030871618417290022,0.6260002843923318,1054,base,1.0,4.0
base__c1.0__hl8.0,2023,0.851447830062853,0.49904624956379806,0.16970317815563293,0.6204933586337761,0.033057233758741304,0.6251140158481737,1054,base,1.0,8.0
base__c1.0__hl12.0,2023,0.851543152467855,0.4988701573843531,0.16965168283825705,0.6242884250474383,0.03604066953051331,0.6255875328853889,1054,base,1.0,12.0
advanced__c0.03__hl4.0,2023,0.8523011086907238,0.5002582174853283,0.17015261212044963,0.6204933586337761,0.04234193584633232,0.6268418397012053,1054,advanced,0.03,4.0
advanced__c0.03__hl8.0,2023,0.8484906074091685,0.4974431325408382,0.16903851880615475,0.6214421252371917,0.03285271959431572,0.6244642795771769,1054,advanced,0.03,8.0
advanced__c0.03__hl12.0,2023,0.8473258638636875,0.49657971204614326,0.1686576719593856,0.6242884250474383,0.02592977910128656,0.6234799584751901,1054,advanced,0.03,12.0
advanced__c0.1__hl4.0,2023,0.8520214660052217,0.5000688895210188,0.17003773817583934,0.6195445920303605,0.04786792178285286,0.6280258314901013,1054,advanced,0.1,4.0
advanced__c0.1__hl8.0,2023,0.8483176762097402,0.4973850644102809,0.1689848374558144,0.6223908918406073,0.031014475399128685,0.6253856122770091,1054,advanced,0.1,8.0
advanced__c0.1__hl12.0,2023,0.8472873530214508,0.4966358444625254,0.16865197084592728,0.6233396584440227,0.02817066570864241,0.6242817540473545,1054,advanced,0.1,12.0
advanced__c0.3__hl4.0,2023,0.8518787385813782,0.49983718605616595,0.1699057093073875,0.6195445920303605,0.04653424086506509,0.6286638485475473,1054,advanced,0.3,4.0
advanced__c0.3__hl8.0,2023,0.8481458286798479,0.4971383022996302,0.1688418014256412,0.6195445920303605,0.027241042645810933,0.6256292303613943,1054,advanced,0.3,8.0
advanced__c0.3__hl12.0,2023,0.8472264845974979,0.49647049155317124,0.16853251851697584,0.6223908918406073,0.031219574100395636,0.624998947897318,1054,advanced,0.3,12.0
advanced__c1.0__hl4.0,2023,0.851807718872963,0.4996227133982646,0.16977837340491742,0.6195445920303605,0.04658342481489474,0.6290468542018961,1054,advanced,1.0,4.0
advanced__c1.0__hl8.0,2023,0.8481015046384104,0.4970137373125122,0.1687586125360166,0.6195445920303605,0.03257827703212859,0.6261624620985184,1054,advanced,1.0,8.0
advanced__c1.0__hl12.0,2023,0.8471724093532292,0.49632743005394075,0.168454721472914,0.6233396584440227,0.0301107223299584,0.6251310567446756,1054,advanced,1.0,12.0
compact__c0.03__hl4.0,2023,0.8528461652290101,0.499912065110073,0.17011054891303354,0.618595825426945,0.023174519783467806,0.6268668886784751,1054,compact,0.03,4.0
compact__c0.03__hl8.0,2023,0.8505387149135989,0.49802296217328923,0.16937356539668968,0.6138519924098672,0.018553432040710936,0.6266450593639757,1054,compact,0.03,8.0
compact__c0.03__hl12.0,2023,0.8497392306405092,0.49738944765449294,0.16912396274057878,0.6176470588235294,0.02564382466484043,0.6271257742609073,1054,compact,0.03,12.0
compact__c0.1__hl4.0,2023,0.8532013733970527,0.5000817596717717,0.1701235285595196,0.6148007590132827,0.018534304661182093,0.6284570155667499,1054,compact,0.1,4.0
compact__c0.1__hl8.0,2023,0.8511839601319263,0.4983804758949027,0.1694622118739257,0.618595825426945,0.028232288988155857,0.6278610290307726,1054,compact,0.1,8.0
compact__c0.1__hl12.0,2023,0.8505307366110642,0.49783879851529567,0.1692491252645445,0.6195445920303605,0.021236089635318242,0.6283721686246739,1054,compact,0.1,12.0
compact__c0.3__hl4.0,2023,0.8531105082815401,0.49993032193921094,0.17002796102921722,0.6148007590132827,0.02519383828960546,0.629022804289048,1054,compact,0.3,4.0
compact__c0.3__hl8.0,2023,0.8511649244675984,0.4983128400033415,0.16940966278105435,0.6166982922201139,0.025044152285431366,0.628517279927458,1054,compact,0.3,8.0
compact__c0.3__hl12.0,2023,0.8506331165848485,0.4978383159651773,0.16922922864107504,0.6166982922201139,0.02571565914377451,0.628804836378772,1054,compact,0.3,12.0
compact__c1.0__hl4.0,2023,0.8534987283085108,0.5000764622583218,0.17006965065599006,0.6138519924098672,0.026058396708166474,0.6293406137324886,1054,compact,1.0,4.0
compact__c1.0__hl8.0,2023,0.8514236228679354,0.49838810076836565,0.1694316223587092,0.6138519924098672,0.030153126825485797,0.628485716507708,1054,compact,1.0,8.0
compact__c1.0__hl12.0,2023,0.8512168018556601,0.49811716403964146,0.16931782948663954,0.6157495256166983,0.032261640358996625,0.6288883972521102,1054,compact,1.0,12.0
class_prior,2024,1.063171348225615,0.6421302967832245,0.22747417526101385,0.4613506916192026,0.024045364642995504,0.4853960562621981,1229,baseline,,
elo_logistic,2024,0.9162835858234261,0.5409448430094825,0.17856767863179648,0.5817737998372661,0.04356023172894419,0.6059495545622864,1229,baseline,,
base__c0.03__hl4.0,2024,0.8996920980994535,0.5301044354203638,0.17418032676770423,0.5907241659886087,0.041414342070908064,0.6123566581474299,1229,base,0.03,4.0
base__c0.03__hl8.0,2024,0.9004009601645019,0.5304749205385557,0.1742502883143408,0.5858421480878763,0.042950202257447945,0.6134009719387816,1229,base,0.03,8.0
base__c0.03__hl12.0,2024,0.9010979871613246,0.530939954647775,0.17440248516416978,0.5858421480878763,0.043997578889164383,0.6142228581693873,1229,base,0.03,12.0
base__c0.1__hl4.0,2024,0.8990630876501875,0.5294743559098537,0.17388221901074127,0.5907241659886087,0.04282818836449563,0.6137201257691287,1229,base,0.1,4.0
base__c0.1__hl8.0,2024,0.8997750374604605,0.5298911280856701,0.17396320985816408,0.5866558177379984,0.037498197006832844,0.6148432562479762,1229,base,0.1,8.0
base__c0.1__hl12.0,2024,0.9003733360838732,0.5303109376423015,0.1741020879333363,0.5858421480878763,0.043451238361204236,0.615722748307579,1229,base,0.1,12.0
base__c0.3__hl4.0,2024,0.8984538846019781,0.5289370214247209,0.17364299893385401,0.5866558177379984,0.04017536056579039,0.61437076651132,1229,base,0.3,4.0
base__c0.3__hl8.0,2024,0.8990582265147722,0.5292995640309702,0.17370963373132375,0.5834011391375101,0.037909251153546104,0.6154785892984584,1229,base,0.3,8.0
base__c0.3__hl12.0,2024,0.8998072283930584,0.529815419875898,0.17388792784158408,0.5850284784377543,0.04107354307698821,0.616535820023608,1229,base,0.3,12.0
base__c1.0__hl4.0,2024,0.8984194939404854,0.5288292350148235,0.17359642061896072,0.5890968266883645,0.04248197379027011,0.6149125459761753,1229,base,1.0,4.0
base__c1.0__hl8.0,2024,0.8988975913166627,0.5291095221824149,0.17360965737009051,0.5874694873881204,0.04499143648360154,0.6159288919654081,1229,base,1.0,8.0
base__c1.0__hl12.0,2024,0.8993897336421793,0.5294511300214949,0.17372045327834876,0.5850284784377543,0.04204271244228012,0.6168309267243267,1229,base,1.0,12.0
advanced__c0.03__hl4.0,2024,0.8994710596095736,0.5310770439649606,0.17474438855112823,0.5899104963384866,0.03537077785123701,0.6135535426773933,1229,advanced,0.03,4.0
advanced__c0.03__hl8.0,2024,0.8999547059584372,0.5313786289462176,0.17471438898090325,0.5931651749389748,0.04130579569247834,0.612909176431955,1229,advanced,0.03,8.0
advanced__c0.03__hl12.0,2024,0.900684321126267,0.531844935406879,0.1748307621059692,0.5923515052888527,0.04389494367923938,0.612479644696067,1229,advanced,0.03,12.0
advanced__c0.1__hl4.0,2024,0.8989672092404626,0.5308405199002418,0.17458241470400745,0.5874694873881204,0.03594049366589053,0.6155162428640849,1229,advanced,0.1,4.0
advanced__c0.1__hl8.0,2024,0.8994373475486795,0.5311175362296551,0.1745546925848962,0.5923515052888527,0.04073808740827395,0.615104786645871,1229,advanced,0.1,8.0
advanced__c0.1__hl12.0,2024,0.9001997326230846,0.5316015897781712,0.17469539229609252,0.5923515052888527,0.043777203250322895,0.6144692719040841,1229,advanced,0.1,12.0
advanced__c0.3__hl4.0,2024,0.8983803103780981,0.5305904841851286,0.1744453397825055,0.5874694873881204,0.031323259861979355,0.6168045733387126,1229,advanced,0.3,4.0
advanced__c0.3__hl8.0,2024,0.8990406342393499,0.5309315868729061,0.17445948791143856,0.5899104963384866,0.038084866448167255,0.6163601599767837,1229,advanced,0.3,8.0
advanced__c0.3__hl12.0,2024,0.8998671616370588,0.5314362789900091,0.17458784775129063,0.5931651749389748,0.04245662029621556,0.6160533196445046,1229,advanced,0.3,12.0
advanced__c1.0__hl4.0,2024,0.8982546475054589,0.5305573977382242,0.1744152711047432,0.5874694873881204,0.03416489608184694,0.6173753180926231,1229,advanced,1.0,4.0
advanced__c1.0__hl8.0,2024,0.89850433713653,0.530623107370074,0.17430157148227557,0.5947925142392189,0.04227719155157526,0.6169919736403605,1229,advanced,1.0,8.0
advanced__c1.0__hl12.0,2024,0.8994042194158858,0.5311625606331006,0.174466740387004,0.5947925142392189,0.04043595495754183,0.6168249194192627,1229,advanced,1.0,12.0
compact__c0.03__hl4.0,2024,0.899638139287367,0.5312544383932265,0.17494183594653812,0.5947925142392189,0.03936788169496998,0.6138503251264082,1229,compact,0.03,4.0
compact__c0.03__hl8.0,2024,0.8992657508666445,0.5310268602518932,0.17463647314144132,0.595606183889341,0.04953220189251634,0.615492323279997,1229,compact,0.03,8.0
compact__c0.03__hl12.0,2024,0.8996505552073688,0.5312878525786902,0.17463611965968265,0.596419853539463,0.05273243286571396,0.6162817570753601,1229,compact,0.03,12.0
compact__c0.1__hl4.0,2024,0.8990983500380916,0.5309545824176475,0.17481347671510303,0.5923515052888527,0.036785227209581654,0.6155534109510234,1229,compact,0.1,4.0
compact__c0.1__hl8.0,2024,0.8987426007282797,0.5307332383417305,0.1745056928029433,0.5923515052888527,0.04404915882555374,0.6175031990029651,1229,compact,0.1,8.0
compact__c0.1__hl12.0,2024,0.8991018881261487,0.5309771047393854,0.17449356017495657,0.595606183889341,0.048919065133827405,0.618504456522987,1229,compact,0.1,12.0
compact__c0.3__hl4.0,2024,0.8982058554246818,0.5304212394787947,0.17457344466924524,0.5923515052888527,0.03472033672627153,0.6167035010084725,1229,compact,0.3,4.0
compact__c0.3__hl8.0,2024,0.898030406221682,0.5303006982369943,0.1743111005318783,0.5931651749389748,0.03951621707046277,0.618611319858179,1229,compact,0.3,8.0
compact__c0.3__hl12.0,2024,0.8982729269462547,0.5304736073809548,0.1742691760310007,0.595606183889341,0.042486810102027185,0.6198948799772921,1229,compact,0.3,12.0
compact__c1.0__hl4.0,2024,0.8976897975144853,0.5300900147726272,0.17442905394113017,0.5923515052888527,0.03778643790148716,0.6176063660894968,1229,compact,1.0,4.0
compact__c1.0__hl8.0,2024,0.8973506533251873,0.5298962958283334,0.17413458527256795,0.5923515052888527,0.0346818769006428,0.6198281652757267,1229,compact,1.0,8.0
compact__c1.0__hl12.0,2024,0.8977913435877813,0.5301749157684457,0.17413719257286905,0.5939788445890968,0.03772304326212877,0.6210284177029666,1229,compact,1.0,12.0
