model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,draw_C,decisive_C,half_life_years
structured__draw0.03__decisive0.3__hl8.0,2018,0.9340650051349997,0.5535897217424788,0.18467495168946968,0.5565123789020452,0.01653178974796677,0.5570174601636306,929,0.03,0.3,8.0
structured__draw0.03__decisive0.3__hl12.0,2018,0.9342070713507045,0.5537166852090756,0.18474608205576215,0.5543595263724435,0.01682923304604392,0.5583459893981598,929,0.03,0.3,12.0
structured__draw0.03__decisive0.3__hl20.0,2018,0.9344254553422865,0.5538940706066149,0.18482640202411427,0.5543595263724435,0.017909768785085156,0.5593623247957418,929,0.03,0.3,20.0
structured__draw0.03__decisive0.3__hlnone,2018,0.9347493598906765,0.5541696127114547,0.1849332203608332,0.5522066738428417,0.017395837988230918,0.5608825019014344,929,0.03,0.3,
structured__draw0.03__decisive1.0__hl8.0,2018,0.9332044964401003,0.5526789335128628,0.18421955757466166,0.5565123789020452,0.014000684111387452,0.5572165443803287,929,0.03,1.0,8.0
structured__draw0.03__decisive1.0__hl12.0,2018,0.9331823453608996,0.5527294123467034,0.184252445624576,0.5586652314316469,0.011720400059291688,0.5585840732680625,929,0.03,1.0,12.0
structured__draw0.03__decisive1.0__hl20.0,2018,0.9333845946397894,0.5529375799713567,0.18434815670648513,0.5597416576964478,0.013741924046330822,0.5594330221251252,929,0.03,1.0,20.0
structured__draw0.03__decisive1.0__hlnone,2018,0.9336151141763149,0.5531824936815383,0.18443966084587501,0.5565123789020452,0.015152771502966707,0.5611554154596584,929,0.03,1.0,
structured__draw0.1__decisive0.3__hl8.0,2018,0.9338248871955714,0.5534479230080384,0.18467239751647782,0.5532831001076426,0.023392455052877167,0.5569242642922789,929,0.1,0.3,8.0
structured__draw0.1__decisive0.3__hl12.0,2018,0.9340527328305405,0.5535900430100865,0.1847388599001518,0.5554359526372443,0.01906753273178137,0.5584010830480582,929,0.1,0.3,12.0
structured__draw0.1__decisive0.3__hl20.0,2018,0.9342458474498606,0.5537589821840595,0.18481354498900243,0.5565123789020452,0.01639502106971382,0.5594459361482639,929,0.1,0.3,20.0
structured__draw0.1__decisive0.3__hlnone,2018,0.9344260814260134,0.5539776342432735,0.1849125789149074,0.5532831001076426,0.016499724126012156,0.5610305452255748,929,0.1,0.3,
structured__draw0.1__decisive1.0__hl8.0,2018,0.9329643785006722,0.5525374664675962,0.1842171692462568,0.5554359526372443,0.015186900983466851,0.5571508022266942,929,0.1,1.0,8.0
structured__draw0.1__decisive1.0__hl12.0,2018,0.9330280068407356,0.5526012652571384,0.1842444710236777,0.5575888051668461,0.01634632566805292,0.5586700545289783,929,0.1,1.0,12.0
structured__draw0.1__decisive1.0__hl20.0,2018,0.9332049867473635,0.5528011210701516,0.1843346144320485,0.5608180839612487,0.0148501982786997,0.5595365338786045,929,0.1,1.0,20.0
structured__draw0.1__decisive1.0__hlnone,2018,0.9332918357116519,0.5529901290599549,0.1844188263232481,0.5575888051668461,0.016088497157376574,0.5613195781316679,929,0.1,1.0,
structured__draw0.3__decisive0.3__hl8.0,2018,0.9337152051191417,0.5534031512042971,0.18467618634441102,0.5522066738428417,0.030926370275971615,0.557041792988143,929,0.3,0.3,8.0
structured__draw0.3__decisive0.3__hl12.0,2018,0.933728789972635,0.5534508810757677,0.1847272976450285,0.5543595263724435,0.020434895165425192,0.5581990468443313,929,0.3,0.3,12.0
structured__draw0.3__decisive0.3__hl20.0,2018,0.9339361398748833,0.5536149225089751,0.18480214806529893,0.5565123789020452,0.01660031121470943,0.5594928584014632,929,0.3,0.3,20.0
structured__draw0.3__decisive0.3__hlnone,2018,0.934290590848801,0.5538947931437039,0.18490566771600167,0.5543595263724435,0.016841644924884096,0.5609342239500235,929,0.3,0.3,
structured__draw0.3__decisive1.0__hl8.0,2018,0.9328546964242426,0.5524930812728187,0.18422115137867173,0.5543595263724435,0.015794809615784725,0.5572637168276658,929,0.3,1.0,8.0
structured__draw0.3__decisive1.0__hl12.0,2018,0.9327040639828303,0.5524628708741626,0.1842332925442259,0.5554359526372443,0.01754851998491109,0.5584700591499041,929,0.3,1.0,12.0
structured__draw0.3__decisive1.0__hl20.0,2018,0.9328952791723863,0.5526578193688648,0.18432359649524382,0.5608180839612487,0.013932042583948707,0.5595939435504698,929,0.3,1.0,20.0
structured__draw0.3__decisive1.0__hlnone,2018,0.9331563451344396,0.5529075211560874,0.18441203172219342,0.5586652314316469,0.01458437096435778,0.5612349097255026,929,0.3,1.0,
structured__draw0.03__decisive0.3__hl8.0,2021,0.8017879386838088,0.46709338112650134,0.14984822716192175,0.6493273542600897,0.027141440902229357,0.6294999484112557,1115,0.03,0.3,8.0
structured__draw0.03__decisive0.3__hl12.0,2021,0.8010686032813326,0.46665649856847335,0.14964714511949306,0.6466367713004484,0.02747671244227055,0.6314892023100287,1115,0.03,0.3,12.0
structured__draw0.03__decisive0.3__hl20.0,2021,0.8006388884655236,0.4663634200178175,0.14949392037293976,0.6466367713004484,0.027536244293358745,0.6333771641479808,1115,0.03,0.3,20.0
structured__draw0.03__decisive0.3__hlnone,2021,0.800385500554254,0.46619851525068845,0.14936903615633335,0.6448430493273543,0.03560704903219386,0.6370543185791582,1115,0.03,0.3,
structured__draw0.03__decisive1.0__hl8.0,2021,0.801664977691759,0.4669056427910577,0.1497543579941999,0.6475336322869956,0.028435491487476455,0.6301904654213172,1115,0.03,1.0,8.0
structured__draw0.03__decisive1.0__hl12.0,2021,0.8008561344432106,0.4663738659491787,0.1495058288098457,0.6448430493273543,0.028594168835580355,0.6320421969978225,1115,0.03,1.0,12.0
structured__draw0.03__decisive1.0__hl20.0,2021,0.8004162188417087,0.4661037364008294,0.14936407856444572,0.6475336322869956,0.03283499822481528,0.6340799617006996,1115,0.03,1.0,20.0
structured__draw0.03__decisive1.0__hlnone,2021,0.8000412451425729,0.46589244365860916,0.1492160003602937,0.6448430493273543,0.03283383609563264,0.6378439911294487,1115,0.03,1.0,
structured__draw0.1__decisive0.3__hl8.0,2021,0.8022013269942377,0.46737829940762016,0.14990981848701126,0.6493273542600897,0.02510372865731048,0.6295015371136009,1115,0.1,0.3,8.0
structured__draw0.1__decisive0.3__hl12.0,2021,0.8014193546565547,0.4669032094798837,0.14969992595790327,0.6457399103139013,0.02859367052794423,0.6315292634063419,1115,0.1,0.3,12.0
structured__draw0.1__decisive0.3__hl20.0,2021,0.8009258460052344,0.46656351730736567,0.149537865318889,0.6457399103139013,0.032202803481692466,0.6335088110288828,1115,0.1,0.3,20.0
structured__draw0.1__decisive0.3__hlnone,2021,0.8007107160563866,0.4664236150112182,0.14942079419112544,0.6448430493273543,0.033069675761050396,0.6370353137711878,1115,0.1,0.3,
structured__draw0.1__decisive1.0__hl8.0,2021,0.802078366002188,0.4671938167707164,0.1498175771685594,0.6475336322869956,0.02713252631307924,0.6302038972721,1115,0.1,1.0,8.0
structured__draw0.1__decisive1.0__hl12.0,2021,0.8012068858184328,0.46662262691980694,0.14955963467786493,0.6430493273542601,0.034421416307791594,0.632092754226507,1115,0.1,1.0,12.0
structured__draw0.1__decisive1.0__hl20.0,2021,0.8007031763814195,0.4663073686207993,0.14940979097560586,0.6475336322869956,0.033487312156753164,0.634218551690274,1115,0.1,1.0,20.0
structured__draw0.1__decisive1.0__hlnone,2021,0.8003664606447055,0.46612106694073274,0.1492695201558827,0.6457399103139013,0.03390458265796436,0.6378297795125222,1115,0.1,1.0,
structured__draw0.3__decisive0.3__hl8.0,2021,0.8022716620831934,0.46744661869085113,0.14993007476440295,0.6493273542600897,0.026499539009805027,0.6294859022873553,1115,0.3,0.3,8.0
structured__draw0.3__decisive0.3__hl12.0,2021,0.8014918224618116,0.46697799511964166,0.14972010865067414,0.6439461883408072,0.027266309574132196,0.6316439373516574,1115,0.3,0.3,12.0
structured__draw0.3__decisive0.3__hl20.0,2021,0.8010255721784731,0.4666635487506681,0.14956339189621987,0.6457399103139013,0.025251517383923096,0.6335430303715021,1115,0.3,0.3,20.0
structured__draw0.3__decisive0.3__hlnone,2021,0.8008600980630666,0.4665401537580668,0.1494492775755208,0.6439461883408072,0.029223558746613372,0.6369190811197172,1115,0.3,0.3,
structured__draw0.3__decisive1.0__hl8.0,2021,0.8021487010911437,0.4672639896965072,0.14983876026723095,0.6466367713004484,0.03001259862999226,0.6301984687705344,1115,0.3,1.0,8.0
structured__draw0.3__decisive1.0__hl12.0,2021,0.8012793536236896,0.4666990391263748,0.14958063065404065,0.6430493273542601,0.03042745010590057,0.6322212709602849,1115,0.3,1.0,12.0
structured__draw0.3__decisive1.0__hl20.0,2021,0.8008029025546584,0.4664092178105509,0.1494362264261612,0.6475336322869956,0.029786719650904157,0.634259677252947,1115,0.3,1.0,20.0
structured__draw0.3__decisive1.0__hlnone,2021,0.8005158426513855,0.4662391459694756,0.14929877368122518,0.6448430493273543,0.034352156241259584,0.6377160800672976,1115,0.3,1.0,
structured__draw0.03__decisive0.3__hl8.0,2022,0.9198320555145844,0.5416715851885765,0.18417629228030832,0.5855670103092784,0.03197240067269317,0.5767166549087468,970,0.03,0.3,8.0
structured__draw0.03__decisive0.3__hl12.0,2022,0.9184640080501002,0.5410164472142321,0.18399765558950926,0.5845360824742268,0.03407825391130144,0.5769011133072681,970,0.03,0.3,12.0
structured__draw0.03__decisive0.3__hl20.0,2022,0.9176712337168518,0.5406591677263299,0.18391494375534428,0.5855670103092784,0.03455900482584424,0.5772513538355923,970,0.03,0.3,20.0
structured__draw0.03__decisive0.3__hlnone,2022,0.9172029476371609,0.5404774127528481,0.18390315886022243,0.5876288659793815,0.030328357161839636,0.5786492986347316,970,0.03,0.3,
structured__draw0.03__decisive1.0__hl8.0,2022,0.91907408230323,0.5411587222384707,0.18391986080525544,0.5876288659793815,0.0300158412570422,0.5773510839687532,970,0.03,1.0,8.0
structured__draw0.03__decisive1.0__hl12.0,2022,0.9177594776271162,0.540539214772107,0.1837590393684466,0.5865979381443299,0.028476227668087065,0.5775057346063411,970,0.03,1.0,12.0
structured__draw0.03__decisive1.0__hl20.0,2022,0.9169642471556436,0.5401731670056926,0.18367194339502554,0.588659793814433,0.03170669365141349,0.5781399615121847,970,0.03,1.0,20.0
structured__draw0.03__decisive1.0__hlnone,2022,0.9166793016802403,0.5401333119050091,0.18373110843630291,0.5896907216494846,0.031239091427366184,0.5793905562622017,970,0.03,1.0,
structured__draw0.1__decisive0.3__hl8.0,2022,0.9193056232156853,0.5413186952109466,0.18408491019317128,0.5865979381443299,0.03194963161791447,0.5765361247117444,970,0.1,0.3,8.0
structured__draw0.1__decisive0.3__hl12.0,2022,0.91786981948275,0.540618369835777,0.18389758211678758,0.588659793814433,0.0323330780711057,0.5768376924866863,970,0.1,0.3,12.0
structured__draw0.1__decisive0.3__hl20.0,2022,0.9170594929527073,0.5402447973696103,0.18381045741249497,0.5917525773195876,0.03455251235525624,0.5770973663574469,970,0.1,0.3,20.0
structured__draw0.1__decisive0.3__hlnone,2022,0.9165401112426079,0.540033736066316,0.1837905407248193,0.5896907216494846,0.030103070376291126,0.5783634860946635,970,0.1,0.3,
structured__draw0.1__decisive1.0__hl8.0,2022,0.9185476500043307,0.5408138702527815,0.18383249771408866,0.588659793814433,0.02775946423486543,0.5771964103293917,970,0.1,1.0,8.0
structured__draw0.1__decisive1.0__hl12.0,2022,0.9171652890597661,0.5401502312673765,0.18366351283258733,0.588659793814433,0.026270355474659255,0.5774630166856404,970,0.1,1.0,12.0
structured__draw0.1__decisive1.0__hl20.0,2022,0.9163525063914992,0.5397685791210424,0.183572348288211,0.5907216494845361,0.030620834463043013,0.5779792417688879,970,0.1,1.0,20.0
structured__draw0.1__decisive1.0__hlnone,2022,0.9160164652856873,0.5396959482024052,0.18362164679286389,0.5896907216494846,0.027304459392591074,0.5790988741934462,970,0.1,1.0,
structured__draw0.3__decisive0.3__hl8.0,2022,0.9191742196119178,0.5412024891750167,0.18405139328404352,0.5876288659793815,0.028744578462816698,0.5766821174700533,970,0.3,0.3,8.0
structured__draw0.3__decisive0.3__hl12.0,2022,0.9179010085358078,0.5406102389100519,0.18388728466609547,0.5865979381443299,0.03020222049217562,0.5768396881723297,970,0.3,0.3,12.0
structured__draw0.3__decisive0.3__hl20.0,2022,0.916770719183744,0.5400664330890013,0.18376401695766842,0.5907216494845361,0.0328202834342086,0.5769692314351488,970,0.3,0.3,20.0
structured__draw0.3__decisive0.3__hlnone,2022,0.9166064339383124,0.5400613330113881,0.1837896625653107,0.5896907216494846,0.02948091970459383,0.5785198706494544,970,0.3,0.3,
structured__draw0.3__decisive1.0__hl8.0,2022,0.9184162464005633,0.5407044814441786,0.18380238941862448,0.5865979381443299,0.025397218592967154,0.5773508555108302,970,0.3,1.0,8.0
structured__draw0.3__decisive1.0__hl12.0,2022,0.9171964781128239,0.5401480994932817,0.18365621495771045,0.5876288659793815,0.026121932509372094,0.5774682979566363,970,0.3,1.0,12.0
structured__draw0.3__decisive1.0__hl20.0,2022,0.9160637326225358,0.5395959526162857,0.18352877672131065,0.5907216494845361,0.02875381382604402,0.5778564862763411,970,0.3,1.0,20.0
structured__draw0.3__decisive1.0__hlnone,2022,0.9160827879813918,0.5397265190054884,0.18362225556236078,0.5876288659793815,0.027951036952987035,0.5792659778840371,970,0.3,1.0,
structured__draw0.03__decisive0.3__hl8.0,2023,0.8525727239576965,0.49875431073972154,0.16937373204775794,0.6204933586337761,0.014783724132406976,0.6247922017653059,1054,0.03,0.3,8.0
structured__draw0.03__decisive0.3__hl12.0,2023,0.8519318058355975,0.4981534194991847,0.16913514728675025,0.6204933586337761,0.022301579752082062,0.6248994738700032,1054,0.03,0.3,12.0
structured__draw0.03__decisive0.3__hl20.0,2023,0.8517879038169766,0.4978642001675538,0.16902504521367437,0.618595825426945,0.024007578413613017,0.6251615167408374,1054,0.03,0.3,20.0
structured__draw0.03__decisive0.3__hlnone,2023,0.8516731096759589,0.49752838513875913,0.16892513444255114,0.618595825426945,0.02540486805723501,0.6260822939182654,1054,0.03,0.3,
structured__draw0.03__decisive1.0__hl8.0,2023,0.8523334274861672,0.49842355210849554,0.16920835273214485,0.6233396584440227,0.013329263094382452,0.6247393347149832,1054,0.03,1.0,8.0
structured__draw0.03__decisive1.0__hl12.0,2023,0.8520618142583726,0.49809019695386103,0.16910353601408837,0.6195445920303605,0.022366561477174224,0.6250676584396608,1054,0.03,1.0,12.0
structured__draw0.03__decisive1.0__hl20.0,2023,0.8517510152352072,0.4976597067087611,0.16892279848427802,0.6176470588235294,0.025773036061754805,0.6252276801884298,1054,0.03,1.0,20.0
structured__draw0.03__decisive1.0__hlnone,2023,0.8517846104314845,0.49739912912853196,0.16886050643743764,0.6166982922201139,0.02374576406202296,0.6263288143827446,1054,0.03,1.0,
structured__draw0.1__decisive0.3__hl8.0,2023,0.8523372559339935,0.4987662012190752,0.1693995529575168,0.6242884250474383,0.0220242332856479,0.6251483787123645,1054,0.1,0.3,8.0
structured__draw0.1__decisive0.3__hl12.0,2023,0.8516933998502958,0.49814546124723486,0.16915498786770497,0.6223908918406073,0.021208668016442705,0.6252090458730516,1054,0.1,0.3,12.0
structured__draw0.1__decisive0.3__hl20.0,2023,0.8515198941327355,0.4978410818790312,0.16904043908848373,0.6223908918406073,0.020519947340522055,0.6254554978467287,1054,0.1,0.3,20.0
structured__draw0.1__decisive0.3__hlnone,2023,0.8515158281060933,0.4975470596650315,0.16894384120316155,0.618595825426945,0.028182296623018147,0.6264210029397588,1054,0.1,0.3,
structured__draw0.1__decisive1.0__hl8.0,2023,0.852097959462464,0.4984420371128954,0.16923747090442695,0.6242884250474383,0.018452633100155352,0.6251175955628027,1054,0.1,1.0,8.0
structured__draw0.1__decisive1.0__hl12.0,2023,0.8518234082730709,0.4980883366881949,0.169126425588185,0.6214421252371917,0.022596200768116362,0.6253900766420081,1054,0.1,1.0,12.0
structured__draw0.1__decisive1.0__hl20.0,2023,0.8514830055509661,0.4976413760353456,0.16894058616664098,0.6195445920303605,0.019248248059880475,0.6255295717928894,1054,0.1,1.0,20.0
structured__draw0.1__decisive1.0__hlnone,2023,0.8516273288616187,0.49742137927298646,0.16888100100713907,0.6195445920303605,0.020757296528559673,0.6266866158948563,1054,0.1,1.0,
structured__draw0.3__decisive0.3__hl8.0,2023,0.8522789625506777,0.49882016233765347,0.1694204560962473,0.6252371916508539,0.021351729241825858,0.6253864133017158,1054,0.3,0.3,8.0
structured__draw0.3__decisive0.3__hl12.0,2023,0.8518309733847491,0.4983086103769515,0.16919699274559358,0.6233396584440227,0.01759265755527877,0.625403650455058,1054,0.3,0.3,12.0
structured__draw0.3__decisive0.3__hl20.0,2023,0.851357476414938,0.4978009130189557,0.1690414668133028,0.6223908918406073,0.01718354061150954,0.6255611557350038,1054,0.3,0.3,20.0
structured__draw0.3__decisive0.3__hlnone,2023,0.8513585039273783,0.49751466931833666,0.16895161612916662,0.6195445920303605,0.026867453131415933,0.6264920163453361,1054,0.3,0.3,
structured__draw0.3__decisive1.0__hl8.0,2023,0.8520396660791484,0.4984999060010975,0.16926032792796938,0.6252371916508539,0.019509210469194425,0.6253438376233935,1054,0.3,1.0,8.0
structured__draw0.3__decisive1.0__hl12.0,2023,0.8519609818075243,0.49825587619369066,0.16917062565396315,0.6223908918406073,0.025098680383199474,0.6255746167209385,1054,0.3,1.0,12.0
structured__draw0.3__decisive1.0__hl20.0,2023,0.8513205878331684,0.49760436198434654,0.16894319129599825,0.6204933586337761,0.022050242225701733,0.6256319497481091,1054,0.3,1.0,20.0
structured__draw0.3__decisive1.0__hlnone,2023,0.8514700046829039,0.49739222037362674,0.16889039165681166,0.6195445920303605,0.021615981807275104,0.6267644978534235,1054,0.3,1.0,
structured__draw0.03__decisive0.3__hl8.0,2024,0.8993733365701801,0.5305239443909138,0.17450550025368647,0.5939788445890968,0.04313653511151652,0.6146592223800541,1229,0.03,0.3,8.0
structured__draw0.03__decisive0.3__hl12.0,2024,0.8993984631328255,0.5305941789404328,0.17444585194829001,0.5923515052888527,0.042781347480382585,0.6156106541439033,1229,0.03,0.3,12.0
structured__draw0.03__decisive0.3__hl20.0,2024,0.8996461409469261,0.5308055235138487,0.17444187991961171,0.5947925142392189,0.043976113158472205,0.6165129463889791,1229,0.03,0.3,20.0
structured__draw0.03__decisive0.3__hlnone,2024,0.9007507179752344,0.5314914289217209,0.17456908175287167,0.5939788445890968,0.040380775843448936,0.6183932552623977,1229,0.03,0.3,
structured__draw0.03__decisive1.0__hl8.0,2024,0.8986248541361794,0.5300439788067708,0.17426551746161495,0.5923515052888527,0.03793098045964872,0.6155863176999723,1229,0.03,1.0,8.0
structured__draw0.03__decisive1.0__hl12.0,2024,0.8986148742499556,0.5300730647437576,0.17418529484995246,0.5931651749389748,0.03996726561888606,0.6164362463067784,1229,0.03,1.0,12.0
structured__draw0.03__decisive1.0__hl20.0,2024,0.8990711630731553,0.5303756370048327,0.17422693666510372,0.5939788445890968,0.04140892165380567,0.6174470075676884,1229,0.03,1.0,20.0
structured__draw0.03__decisive1.0__hlnone,2024,0.8996065135821811,0.5307923729137141,0.17421955374886827,0.5947925142392189,0.036150032183835855,0.619555685092251,1229,0.03,1.0,
structured__draw0.1__decisive0.3__hl8.0,2024,0.8993352006192761,0.5305429693579914,0.174518900250546,0.5923515052888527,0.03931849624366654,0.6150222582921371,1229,0.1,0.3,8.0
structured__draw0.1__decisive0.3__hl12.0,2024,0.8993376185175042,0.5306024499814799,0.17445764230804078,0.5915378356387306,0.039067516763536474,0.6161144953097205,1229,0.1,0.3,12.0
structured__draw0.1__decisive0.3__hl20.0,2024,0.899509425592952,0.530754725856466,0.1744392177404202,0.5931651749389748,0.04198497872718618,0.6170506822968974,1229,0.1,0.3,20.0
structured__draw0.1__decisive0.3__hlnone,2024,0.9005834334040415,0.531419754401532,0.17456054314892575,0.5939788445890968,0.041658930895405316,0.6188605903812806,1229,0.1,0.3,
structured__draw0.1__decisive1.0__hl8.0,2024,0.8985867181852755,0.5300693310331521,0.17428208108812637,0.5907241659886087,0.03336401067273871,0.615950111363506,1229,0.1,1.0,8.0
structured__draw0.1__decisive1.0__hl12.0,2024,0.8985540296346344,0.5300874682121052,0.1742001514233534,0.5915378356387306,0.03811031609267625,0.6169376931135779,1229,0.1,1.0,12.0
structured__draw0.1__decisive1.0__hl20.0,2024,0.8989344477191812,0.5303334552394052,0.1742285824318898,0.5931651749389748,0.041872991535564584,0.6179768253226132,1229,0.1,1.0,20.0
structured__draw0.1__decisive1.0__hlnone,2024,0.8994392290109883,0.5307265821766157,0.17421395703646758,0.5947925142392189,0.03745211647762188,0.6200258171458852,1229,0.1,1.0,
structured__draw0.3__decisive0.3__hl8.0,2024,0.8991810467555935,0.5305206947690153,0.17453011202503332,0.5923515052888527,0.03953814806186901,0.6151294059899377,1229,0.3,0.3,8.0
structured__draw0.3__decisive0.3__hl12.0,2024,0.8992963800575633,0.5306058241914958,0.17446358610510038,0.5907241659886087,0.03679267338705076,0.6161799857324285,1229,0.3,0.3,12.0
structured__draw0.3__decisive0.3__hl20.0,2024,0.8994842059494123,0.5308043711537492,0.1744631735720229,0.5931651749389748,0.04381534698216421,0.6170606526940496,1229,0.3,0.3,20.0
structured__draw0.3__decisive0.3__hlnone,2024,0.9004855936109954,0.5313749355225357,0.17455588419852142,0.5931651749389748,0.040125919877767854,0.6188972217445925,1229,0.3,0.3,
structured__draw0.3__decisive1.0__hl8.0,2024,0.8984325643215928,0.5300526876753141,0.17429610847818272,0.5907241659886087,0.03603859397748121,0.616060868238135,1229,0.3,1.0,8.0
structured__draw0.3__decisive1.0__hl12.0,2024,0.8985127911746934,0.5300943548007547,0.17420785140972994,0.5915378356387306,0.03809170405120028,0.6170042863835987,1229,0.3,1.0,12.0
structured__draw0.3__decisive1.0__hl20.0,2024,0.8989092280756414,0.5303892115739084,0.17425559378210248,0.5931651749389748,0.03963446555312064,0.6179882133335508,1229,0.3,1.0,20.0
structured__draw0.3__decisive1.0__hlnone,2024,0.8993413892179425,0.5306844166903455,0.1742106247824263,0.5939788445890968,0.036738841446239484,0.6200624574772478,1229,0.3,1.0,
